estado;alta;ruc;cliente;ubigeo;direccion;tamaño;actividad;ms_us;latitud;longitud
Vigente;6/05/2025;20608736507;CLINIDERMA S.A.C. . .;Lima Lima Jesús María;Av. de la Policía 491, Jesús María 15072;Pequeña Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;US;-12.08717434;-77.05822303
Vigente;9/05/2025;20606384409;CARRASCO MEDICAL IMPORT E.I.R.L. . .;Lima Lima Miraflores;AV. MARISCAL LA MAR 163;Micro Empresa;VENTA AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICOS COSMETICOS Y ARTICULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS;US;-12.1184164;-77.0408284
Vigente;3/05/2025;20606423374;ELVIMEDIC GROUP SAC . .;Lima Lima Los Olivos;JR. SATURNO 106 LOS OLIVOS;Micro Empresa;VENTA AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICOS COSMETICOS Y ARTICULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS;US;-12.0006645;-77.0627216
Vigente;6/05/2025;20147960370;CENTRO AMAZ.DE ANTROP.Y APLIC.PRACTICA . .;Lima Lima Magdalena del Mar;AV. GONZALES PRADA NRO. 626;Pequeña Empresa;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES Y LAS HUMANIDADES;US;-12.0910891;-77.0636053
Vigente;6/05/2025;20549587900;DISTRIBUCIONES QUINTO E.I.R.L.;Lima Lima San Martín de Porres;CAL.ENRIQUE GONGORA NRO. 143;Micro Empresa;VENTA AL POR MAYOR DE ALIMENTOS BEBIDAS Y TABACO;US;-12.0285504;-77.0521295
Vigente;6/05/2025;20511169331;VETER PERU SOCIEDAD ANONIMA CERRADA . .;Lima Lima Breña;jr gral jose vidal 1158 breña;Pequeña Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;US;-12.0577785;-77.0546616
Vigente;12/05/2025;20538736776;CENTRO DEL FRIO COMERCIAL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA   CENFRICO E.I.R.L. . .;Lima Lima Puente Piedra;AV. PUENTE PIEDRA 909, PUENTE PIEDRA;Pequeña Empresa;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO;MS;-11.85889495;-77.08219288
Vigente;13/05/2025;20538736776;CENTRO DEL FRIO COMERCIAL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA   CENFRICO E.I.R.L. . .;Lima Lima Puente Piedra;CALLE LAS HIGUERAS MZ F LT 2, PUENTE PIEDRA;Pequeña Empresa;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO;MS;-11.86986711;-77.06375636
Vigente;13/05/2025;20538736776;CENTRO DEL FRIO COMERCIAL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA   CENFRICO E.I.R.L. . .;Lima Lima Santa Anita;URB. ALAMEDA DE ATE, ETAPA 2 MZ L, SANTA ANITA;Pequeña Empresa;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO;MS;-12.03183263;-76.94682539
Vigente;30/04/2025;20611348658;ATIEMPO TELESERVICIOS JIT E.I.R.L. . .;Lima Lima San Luis;AV. AGUSTIN DE LA ROSA TORO NRO. 984;Micro Empresa;ACTIVIDADES DE CENTROS DE LLAMADAS;US;-12.0806121;-76.9938973
Vigente;11/06/2025;20545188466;HILLARY EXTENSIONES SOCIEDAD ANONIMA CERRADA HILEX S.A.C. . .;Lima Lima San Borja;AV. JAVIER PRADO ESTE NRO. 2940;Micro Empresa;PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA;US;-12.0872571;-76.9950038
Vigente;5/05/2025;20482300678;G & S LABORATORY S.R.L. . .;La Libertad Trujillo  Trujillo;AV. AMERICA SUR NRO. 1134;Pequeña Empresa;ENSAYOS Y ANALISIS TECNICOS;US;-8.1108807;-79.0133724
Vigente;8/05/2025;20612391271;KAPHIY 16 E.I.R.L. . .;Lima Lima Breña;JR. HUARAZ 1611 URB. AZCONA, BREÑA;Micro Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;MS;-12.06564019;-77.0496696
Vigente;3/05/2025;20612979023;GARCIA CONSULTING GROUP S.A.C. . .;La Libertad Trujillo  Trujillo;MZA. M LOTE. 8 URB. LOS NARANJOS LA LIBERTAD - TRUJILLO - TRUJILLO;Micro Empresa;ACTIVIDADES DE CONSULTORIA DE GESTION;US;-8.08835191;-79.01306088
Vigente;30/04/2025;20613071271;INFORMATIC TECNOLOGY INFORMATION SUPPORT S.A.C. . .;Lima Lima Puente Piedra;CAL.LOS EUCALIPTOS NRO. 344  ASC. SHANGRILLA LIMA - LIMA - PUENTE PIEDRA;ND;OTRAS ACTIVIDADES DE TECNOLOGIA DE LA INFORMACION Y DE SERVICIOS INFORMATICOS;US;-11.9096672;-77.0779525
Vigente;6/05/2025;20600367189;KRESALJA IP SOCIEDAD CIVIL DE RESPONSABILIDAD LIMITADA . .;Lima Lima Miraflores;AV. REDUCTO NRO. 1534;Pequeña Empresa;ACTIVIDADES JURIDICAS;US;-12.1341084;-77.0235776
Vigente;29/04/2025;20611823143;PROMO TV PERU SOCIEDAD ANONIMA CERRADA . .;Lima Lima Los Olivos;Avenida Carlos Izaguirre 1322  Los Olivos;Micro Empresa;VENTA AL POR MAYOR DE ALIMENTOS BEBIDAS Y TABACO;US;-11.9912717;-77.0785292
Vigente;6/05/2025;20603474849;V & R GLOBAL SERVICES S.A.C. . .;Lima Lima Villa El Salvador;MZA. E LOTE. 4 SEC. 2 GRUPO 11;Micro Empresa;PROGRAMACION INFORMATICA;US;-12.2021875;-76.9436719
Vigente;29/04/2025;20493387597;P P INVESTMENT SAC . .;Lima Lima San Borja;AV. SAN LUIS NRO. 1988;Pequeña Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;US;-12.089431;-76.996492
Vigente;2/05/2025;20101522246;FAST WAY S R L . .;Lima Lima Cercado de Lima;JR TEODOR CARDENAS 332;Micro Empresa;ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA IMPRESION;MS;-12.0776277;-77.0339754
Vigente;2/05/2025;20462335653;QUIMICA REGASA S.A.C.;Lima Lima Ate;AV. MARCO PUENTE LLANOS MZA. A LOTE. 4A URB. BARBADILLO;Micro Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;US;-12.03411067;-76.92138736
Vigente;7/05/2025;20511366161;QUANTUM CONSULTORES S.A.C. . .;Lima Lima Santiago de Surco;JR. JOSE NICOLAS DE RODRIGO NRO. 365 URB. LIMA POLO HUNT;Pequeña Empresa;"ACTIVIDADES DE CONTABILIDAD TENEDURIA DE LIBROS Y AUDITORIA; CONSULTORIA FISCAL";US;-12.1019959;-76.96396438
Vigente;3/05/2025;20606538660;GRUPO AREDO MOTORS S.A.C. . .;Lima Lima Comas;AV. 22 DE AGOSTO MZA. A4 LOTE. 28;Micro Empresa;VENTA MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y SUS PARTES PIEZAS Y ACCESORIOS;MS;-11.9462952;-77.0590846
Vigente;3/05/2025;20611624043;ORIGITEC E.I.R.L. . .;Lima Lima Santiago de Surco;AV. AVIACION 4894 URB. RESID. HIGUERETA, SURCO;ND;VENTA AL POR MAYOR DE EQUIPO PARTES Y PIEZAS ELECTRONICOS Y DE TELECOMUNICACIONES;MS;-12.1248924;-76.9998113
Vigente;30/04/2025;20602480659;SOLUCIONES INTEGRALES BRAVEND E.I.R.L. . .;Lima Lima San Luis;JIRON EL TESORO 619 SAN LUIS;Micro Empresa;VENTA AL POR MENOR DE ORDENADORES EQUIPO PERIFERICO PROGRAMA DE INFORMATICA Y EQUIPO DE TELECOMUNICION EN COMERCIOS ESPECIALIZADOS;US;-12.0797672;-77.003054
Vigente;2/05/2025;20602376941;ASOCIACION CULTURAL DE LA LENGUA PORTUGUESA . .;Lima Lima San Isidro;CALLE CHACARILLA 475, SAN ISIDRO - LIMA - LIMA;Pequeña Empresa;ACTIVIDADES DE OTRAS ASOCIACIONES NO CLASIFICADOS PREVIAMENTE;US;-12.1006983;-77.0291888
Vigente;29/04/2025;20613878689;FIONA MARRONA SOCIEDAD ANONIMA CERRADA . .;Lima Lima Los Olivos;AV. CARLOS IZAGUIRRE NRO. 1052 LIMA - LIMA - LOS OLIVOS;ND;PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA;US;-11.9912935;-77.0742203
Vigente;29/04/2025;20601691834;PROYECTOS & SOLUCIONES INTEGRALES C & B  E.I.R.L. . .;Callao Prov. Const. del Callao Bellavista;CAL.RICARDO PALMA NRO. 838;Micro Empresa;OTRAS ACTIVIDADES PROFESIONALES CIENTIFICAS Y TECNICAS NO CLASIFICADOS PREVIAMENTE;US;-12.0570977;-77.0914494
Vigente;30/04/2025;20461677836;CARRERA & CIA SOCIEDAD CIVIL DE RESPONSABILIDAD LIMITADA . .;Lima Lima Santa Anita;Asociación Santa Cruz, Mz D lote 13, Distrito de Santa Anita;Pequeña Empresa;ACTIVIDADES JURIDICAS;MS;-12.04489312;-76.95844045
Vigente;3/05/2025;20108984041;LIMPI MAX S.A. . .;Lima Lima Lurin;CAL.2 MZA. H LOTE. 14 URB. NUEVO LURIN (6 CDRAS MCDO CENTRAL V. DE LAS MERCEDES) LIMA - LIMA - LURIN;Micro Empresa;FABRICACION DE JABONES Y DETERGENTES PREPARADOS PARA LIMPIAR Y PULIR PERFUMES Y PREPARADOS DE TOCADOR;US;-12.2813125;-76.8648125
Vigente;30/04/2025;20392466275;GYA CONSTRUCCIONES S.A.C.;La Libertad Trujillo  Trujillo;CALLE Leoncio Prado MZ. G PISO 1 Mz. Lote Lt. 10 URB. San Pedro ZONA -, VICTOR LARCO HERRERA, TRUJILLO, LA LIBERTAD;Mediana Empresa;INSTALACIONES DE FONTANERIA CALEFACCION Y AIRE ACONDICIONADO;US;-8.1421875;-79.0450781
Vigente;28/04/2025;20392466275;GYA CONSTRUCCIONES S.A.C.;Lima Lima Miraflores;CALLE Jorge Polar NRO 290 PISO 1 Mz. - Lt. - URB. Santa Cruz ZONA -, MIRAFLORES, LIMA, LIMA;Mediana Empresa;INSTALACIONES DE FONTANERIA CALEFACCION Y AIRE ACONDICIONADO;US;-12.1098375;-77.0505469
Vigente;26/04/2025;20562642219;AGROSOFT S.A.C. . .;Lima Lima Pueblo Libre;av. jose antonio de sucre 142;Micro Empresa;PROGRAMACION INFORMATICA;US;-12.072663;-77.062149
Vigente;5/05/2025;20334640371;CHERIE CENTRO DE ESTETICA S.R.LTDA . .;Lima Lima Miraflores;AV. STA CRUZ NRO. 617 MI;Micro Empresa;PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA;US;-12.1088739;-77.0355364
Vigente;3/05/2025;20600666119;FARMACEUTICA IMPERIO DEL SOL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA . .;Lima Lima Villa María del Triunfo;AV. SALVADOR ALLENDE NRO. S/N;Micro Empresa;VENTA AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICOS COSMETICOS Y ARTICULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS;US;-12.17113539;-76.94661194
Vigente;30/04/2025;20611624043;ORIGITEC E.I.R.L. . .;Lima Lima San Miguel;AV. LA MAR 2275 TDA.46 (SHOPPING CENTER SAN MIGUEL) - SAN MIGUEL;ND;VENTA AL POR MAYOR DE EQUIPO PARTES Y PIEZAS ELECTRONICOS Y DE TELECOMUNICACIONES;MS;-12.0751146;-77.0818208
Vigente;16/05/2025;20566538050;R & JJ SERVICIOS S.A.C. . .;Callao Prov. Const. del Callao Callao;MZA. Q LOTE. 4 DPTO. 107 URB. SANTA MARINA NORTE;Mediana Empresa;ACTIVIDADES DE SEGURIDAD PRIVADA;US;-12.0535875;-77.1323906
Vigente;30/04/2025;20611915722;AGROINDUSTRIA PALMOLIO S.A.C. . .;Lima Lima San Isidro;CALLE CHINCHON 874 SEGUNDO PISO 2B, URB. JARDIN (SAN ISIDRO - LIMA - LIMA);Pequeña Empresa;ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL;US;-12.0957033;-77.0277275
Vigente;5/05/2025;20605319107;INNOVACIONES INDUSTRIALES Y SERVICIOS E.I.R.L. . .;Lima Lima Cercado de Lima;AV. BELISARIO SOSA PELAEZ NRO. 1395;Micro Empresa;FABRICACION DE OTROS TIPOS DE MAQUINARIA DE USO ESPECIAL;US;-12.06254264;-77.06306423
Vigente;30/04/2025;20604101353;METALURGICA CIMETAL S.A.C. . .;Lima Lima Los Olivos;CALLE EL SODIO 150 URB. VILLA INFANTAS, LOS OLIVOS;Micro Empresa;FABRICACION DE OTROS PRODUCTOS ELABORADOS DE METAL NO CLASIFICADOS PREVIAMENTE;MS;-11.9669618;-77.0647598
Vigente;2/05/2025;20601984793;INVERSIONES & NEGOCIOS DON JUAN S.A.C.;Lima Lima San Martín de Porres;AV. EDUARDO DE HABICH NRO. 550;Pequeña Empresa;ELABORACION DE PRODUCTOS DE PANADERIA;MS;-12.0275004;-77.0566454
Vigente;2/05/2025;20601984793;INVERSIONES & NEGOCIOS DON JUAN S.A.C.;Lima Lima San Martín de Porres;Valparaiso 445 san;Pequeña Empresa;ELABORACION DE PRODUCTOS DE PANADERIA;MS;-12.0312828;-77.0667467
Vigente;30/04/2025;20512342516;APS INGENIEROS S.A.C. . .;Lima Lima Lince;Av. Petit Thouars 1775, Lince;Micro Empresa;OTRAS ACTIVIDADES PROFESIONALES CIENTIFICAS Y TECNICAS NO CLASIFICADOS PREVIAMENTE;MS;-12.081897;-77.033612
Vigente;30/04/2025;20600692977;WORLD CLEAN LABORATORY S.A.C.   WORLD CLEAN LAB. S.A.C. . .;Lima Lima Los Olivos;CAL.JOSE SANTOS ATAHUALPA NRO. 664 URB. EL TREBOL ET. CUATRO (301) LIMA - LIMA - LOS OLIVOS;Micro Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;MS;-12.0075125;-77.0672455
Vigente;28/04/2025;20600442709;CLUB SOCIAL Y DEPORTIVO PURO BILLAR . .;Lima Lima Pueblo Libre;AV. BRASIL 1460;Micro Empresa;ACTIVIDADES DE CLUBES DEPORTIVOS;US;-12.073476;-77.052893
Vigente;28/04/2025;20606464275;CORPORACION SHADDAI LF S.A.C. . .;Lima Lima San Borja;AV JAVIER PRADO 5908;Pequeña Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;US;-12.0723234;-76.9568506
Vigente;25/04/2025;20613997424;CORPORACION DE FRANQUICIAS SONRISA SEGURA S.A.C. . .;Lima Lima Santiago de Surco;JIRON MONTE ROSA 233;Micro Empresa;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS;MS;-12.111839;-76.990318
Vigente;7/05/2025;20485235796;INTI CONSORCIO SOCIEDAD ANONIMA CERRADA . .;Lima Lima Miraflores;AV VILLARAN 361 MIRAFLORES;Pequeña Empresa;VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS;US;-12.1237756;-77.0091214
Vigente;2/05/2025;20608914146;CORPORACION CADENA DE RESTAURANTES DORIS S.A.C. . .;Lima Lima Santa Anita;CALLE 8 MZ. A LOTE 23 URB. BENJAMIN DOIG SANTA ANITA;Pequeña Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;MS;-12.0361875;-76.9514375
Vigente;28/04/2025;20522060900;CONSORCIO EDUCATIVO ATENEO EIRL   ATENEO EIRL . .;Lima Lima La Molina;CALLE VIÑA DEL MAR 365, URB. SOL DE LA MOLINA, LA MOLINA;Pequeña Empresa;ENSEÑANZA PREESCOLAR Y PRIMARIA;MS;-12.0831412;-76.9072884
Vigente;28/04/2025;20612843679;QUESWA S.A.C. . .;Lima Lima San Isidro;CALLE CHINCHON 858 SAN ISIDRO;Pequeña Empresa;ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA;US;-12.0958538;-77.0281643
Vigente;28/04/2025;20548861951;INVERSIONES INTRIGUE E.I.R.L. . .;Lima Lima Miraflores;Jorge Chávez 220;Micro Empresa;PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA;US;-12.1204372;-77.0372385
Vigente;29/04/2025;20375845840;MINEX PRODUCTS S.R.L. . .;Lima Lima Miraflores;AV. 28 DE JULIO 745 URB. LEURO, MIRAFLORES;Pequeña Empresa;ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA;US;-12.12783553;-77.02663103
Vigente;29/04/2025;20543822435;REVISTA NACIONAL BOMBEROS PERU S.A.C. . .;Lima Lima Santiago de Surco;AVENIDA Circunvalacion del golf los incas 208;Micro Empresa;EDICION DE PERIODICOS REVISTAS Y OTRAS PUBLICACIONES PERIODICAS;US;-12.080996;-76.966529
Vigente;29/04/2025;20563023016;OVERSKULL S.A.C. . .;Lima Lima Villa El Salvador;SEct 2, Grp 21 Mz L, Lote. 09 villa el salvador;Pequeña Empresa;OTRAS ACTIVIDADES DE TECNOLOGIA DE LA INFORMACION Y DE SERVICIOS INFORMATICOS;US;-12.2054875;-76.9502344
Vigente;2/05/2025;20515724916;INSTITUCION EDUCATIVA PRIVADA PROLOG S.A.C. . .;Lima Lima Comas;los jazmines 193 comas;Pequeña Empresa;ENSEÑANZA PREESCOLAR Y PRIMARIA;MS;-11.9049549;-77.0549414
Vigente;28/04/2025;20601404738;DECORARTE S.A.C. . .;Lima Lima Chorrillos;Jr. Tambo Real 208;Micro Empresa;FABRICACION DE MUEBLES;US;-12.1696376;-77.0003094
Vigente;7/05/2025;20612251593;FAMTEX COMPANY SOCIEDAD ANONIMA CERRADA . .;Lima Lima San Juan de Lurigancho;Jr. Los Amautas 734, urb zarate, San Juan de Lurigancho;Pequeña Empresa;FABRICACION DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL;MS;-12.02615923;-77.00126262
Vigente;2/05/2025;20461677836;CARRERA & CIA SOCIEDAD CIVIL DE RESPONSABILIDAD LIMITADA . .;Lima Lima Santa Anita;Jr. Gran Chimu 225 Coop. Andahuaylas. Distrito de Santa Anita;Pequeña Empresa;ACTIVIDADES JURIDICAS;MS;-12.0423945;-76.9683559
Vigente;30/04/2025;20611335441;ESTUDIO GALICIA CORPORACION GROUP S.A.C. EG CORP S.A.C. . .;Lima Lima San Isidro;AV. CANAVAL Y MOREYRA 385, OF. 703, SAN ISIDRO;Mediana Empresa;ACTIVIDADES JURIDICAS;US;-12.0968423;-77.022827
Vigente;28/04/2025;20515253379;INSTITUCION EDUCATIVA PARTICULAR LOS ROBLES SOCIEDAD ANONIMA CERRADA . .;Lima Lima Cercado de Lima;JR. CARLOS ARRIETA NRO. 1249;Micro Empresa;ENSEÑANZA PREESCOLAR Y PRIMARIA;US;-12.0767071;-77.0319109
Vigente;29/04/2025;20600425154;INVERSIONES BRISELLI SAC . .;Callao Prov. Const. del Callao Callao;AV. LOS DOMINICOS NRO. 511;Pequeña Empresa;ELABORACION DE PRODUCTOS DE PANADERIA;MS;-12.0101981;-77.0975233
Vigente;29/04/2025;20550479363;OH GROUP INTERNATIONAL S.A.C. . .;Lima Lima San Isidro;miguel dasso 153;Micro Empresa;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES PRENDAS DE VESTIR Y CALZADO;US;-12.1064829;-77.0401023
Vigente;29/04/2025;20463131431;ASOCIACION EDUCATIVA HONORES . .;Lima Lima San Martín de Porres;PRO.LOS NOGALES DE SAN DIEGO DE ALCALA MZ. A LT. 11 SAN MARTIN DE PORRES;Micro Empresa;ACTIVIDADES DE OTRAS ASOCIACIONES NO CLASIFICADOS PREVIAMENTE;MS;-11.95390298;-77.09116593
Vigente;29/04/2025;20463131431;ASOCIACION EDUCATIVA HONORES . .;Lima Lima San Martín de Porres;Ca Bella Durmiente Mz B Lt 7 Urb Villa San Diego San Martin de Porres;Micro Empresa;ACTIVIDADES DE OTRAS ASOCIACIONES NO CLASIFICADOS PREVIAMENTE;MS;-11.95343614;-77.09262484
Vigente;3/05/2025;20543192661;AZIZE INGENIEROS S.A.C. . .;Lima Lima San Isidro;CAL.LAS CAMELIAS NRO. 820 INT. 601 URB. SANTA CRUZ LIMA - LIMA - SAN ISIDRO;Pequeña Empresa;ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA;US;-12.097728;-77.0287059
Vigente;25/04/2025;20311622545;P. Y J MEJIA FAMAREM SRLTDA . .;Lima Lima La Victoria;Manuel Toribio Ureta 151, Lima 15034;Micro Empresa;ALMACENAMIENTO Y DEPOSITO;MS;-12.0778762;-77.0208009
Vigente;25/04/2025;20525573134;JEBICORP SOCIEDAD ANONIMA CERRADA   JEBICORP S.A.C. . .;Lima Lima Santa Anita;Avenida Santa Rosa 275 Santa Anita;Pequeña Empresa;VENTA AL POR MAYOR DE COMBUSTIBLES SOLIDOS LIQUIDOS Y GASEOSOS Y PRODUCTOS CONEXOS;US;-12.0504096;-76.9619895
Vigente;25/04/2025;20602391681;RYDER DRILLING TOOLS SOCIEDAD ANONIMA CERRADA   RYDER DRILLING TOOLS S.A.C. . .;Lima Lima Santiago de Surco;JIRON CRUZ DEL SUR 140-154;Pequeña Empresa;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO;US;-12.085413;-76.97261
Vigente;25/04/2025;20601697913;ILLAPAY ENERGY S.A.C. . .;Lima Lima Santiago de Surco;JR. LOS TILOS NRO. 148 URB. EL PALMAR LIMA - LIMA - SANTIAGO DE SURCO;Pequeña Empresa;VENTA AL POR MAYOR DE EQUIPO PARTES Y PIEZAS ELECTRONICOS Y DE TELECOMUNICACIONES;US;-12.1506137;-77.0075883
Vigente;24/04/2025;20137464439;MULTIDENT S.R.LTDA. . .;Lima Lima Lince;Av. César Vallejo 1560, Lince 15073;Pequeña Empresa;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS;US;-12.0880021;-77.0477775
Vigente;26/04/2025;20612081434;CORPORACION CLF E.I.R.L. . .;Lima Lima Comas;AV. CARABAYLLO NRO. 833;Micro Empresa;VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS;MS;-11.9538925;-77.0571676
Vigente;26/04/2025;20522060900;CONSORCIO EDUCATIVO ATENEO EIRL   ATENEO EIRL . .;Lima Lima La Molina;AV. LOS FRESNOS MZ. M LOTE. 10 URB. PORTADA DEL SOL, LA MOLINA (ADMINISTRATIVO 1ER PISO);Pequeña Empresa;ENSEÑANZA PREESCOLAR Y PRIMARIA;US;-12.10783985;-76.93943295
Vigente;25/04/2025;20606725141;CENTRO MEDICO LAS ABEJITAS VIP SOCIEDAD ANONIMA CERRADA CENTRO MEDICO LAS ABEJITAS VIP S.A.C. . .;Lima Lima Ate;Cl rio ucayali 232, ate;ND;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS;US;-12.0734439;-76.9866164
Vigente;25/04/2025;20608206109;IMPORTADORA LATAM S.A.C. . .;Lima Lima Miraflores;AVENIDA MARISCAL LA MAR 750 - LA MAR;Micro Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;US;-12.11352;-77.045034
Vigente;26/04/2025;20522060900;CONSORCIO EDUCATIVO ATENEO EIRL   ATENEO EIRL . .;Lima Lima La Molina;AV. LOS FRESNOS MZ. M LOTE. 10 URB. PORTADA DEL SOL- LA MOLINA (SALA COMPUTO PROFESORES 3ER PISO);Pequeña Empresa;ENSEÑANZA PREESCOLAR Y PRIMARIA;US;-12.10785627;-76.93946321
Vigente;25/04/2025;20100874068;COOPERATIVA DE AHORRO Y CREDITO CONTINENTAL LTDA. . .;Lima Lima La Victoria;AV. CARLOS VILLARAN NRO. 361 LA V;Micro Empresa;OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES NO CLASIFICADOS PREVIAMENTE;US;-12.0887517;-77.0212496
Vigente;26/04/2025;20607105155;PROYECTEK S.A.C. . .;Lima Lima San Miguel;calle chicama 177 san miguel;Micro Empresa;CONSTRUCCION DE EDIFICIOS;US;-12.0776373;-77.1042902
Vigente;25/04/2025;20602072143;POWER KIDS COMPANY S.R.L. . .;Lima Lima La Victoria;JR. FRANCISCO JAVIER DE LUNA PIZARRO NRO. 174 INT. 9 LIMA  LA VICTORIA;Micro Empresa;VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS;US;-12.0599415;-77.0283519
Vigente;26/04/2025;20522060900;CONSORCIO EDUCATIVO ATENEO EIRL   ATENEO EIRL . .;Lima Lima La Molina;AV. LOS FRESNOS MZ. M LOTE. 10 URB. PORTADA DEL SOL- LA MOLINA (SALA COMPUTO 3ER PISO);Pequeña Empresa;ENSEÑANZA PREESCOLAR Y PRIMARIA;US;-12.10784054;-76.93944176
Vigente;26/04/2025;20543608271;INVERSIONES GORRION S.A.C. . .;Lima Lima San Martín de Porres;JR. ARICA MZ J LOTE 7, PARADERO PUENTE CAMOTE (SALA TRAGAMONEDAS PALACIO DE ORO), SAN MARTIN DE PORRES - LIMA - LIMA;ND;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;US;-11.9906875;-77.0970625
Vigente;3/05/2025;20553548986;AHC LOGISTIC PERU S.A.C. . .;Callao Prov. Const. del Callao La Perla;AV. LA MARINA NRO. 1039;Pequeña Empresa;OTRAS ACTIVIDADES DE APOYO AL TRANSPORTE;US;-12.0691795;-77.110794
Vigente;25/04/2025;20458743038;FARMADESA S.R.L. . .;Lima Lima Villa María del Triunfo;PACHACUTEC 3279;Mediana Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;MS;-12.1764349;-76.9453586
Vigente;2/05/2025;20608959778;MEGA FERRETERO E.I.R.L. . .;Lima Lima Villa El Salvador;AV. JUAN VELASCO ALVARADO MZA. L LOTE. 24 OTR. PARQUE INDUSTRIAL;Micro Empresa;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION ARTICULOS DE FERRETERIA Y EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION;US;-12.2038875;-76.9331094
Vigente;28/04/2025;20603739052;APOLO CLUB LIMA S.A.C. . .;Lima Lima Barranco;republica de panama 240;Micro Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;US;-12.1400213;-77.0174482
Vigente;2/05/2025;20612251593;FAMTEX COMPANY SOCIEDAD ANONIMA CERRADA . .;Lima Lima La Victoria;AV IQUITOS 926;Pequeña Empresa;FABRICACION DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL;MS;-12.0696195;-77.0302085
Vigente;24/04/2025;20611335441;ESTUDIO GALICIA CORPORACION GROUP S.A.C. EG CORP S.A.C. . .;Lima Lima San Isidro;AV. LAS CAMELIAS NRO. 710 URB. SANTA CRUZ (PISO 3), SAN ISIDRO;Mediana Empresa;ACTIVIDADES JURIDICAS;US;-12.0966502;-77.0288945
Vigente;3/05/2025;20600566998;CORPORACION UN S.A.C. . .;Lima Lima San Martín de Porres;AV. JOSE GRANDA NRO. 3098;Pequeña Empresa;VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS;US;-12.025082;-77.0775542
